Tseni i kolichestva

;;Sat, 07/01;Sun, 07/02;Mon, 07/03;Tue, 07/04;Wed, 07/05;Thu, 07/06;Fri, 07/07
Prices (BGN/MWh);;144,45;45,18;192,16;223,88;213,93;211.72;197.04
Volume (MWh);;67 109,80;72 763,10;68 704,70;67 033,50;66 483,50;69 360.10;72 553.20;

Blokovi produkti

;;Sat, 07/01;Sun, 07/02;Mon, 07/03;Tue, 07/04;Wed, 07/05;Thu, 07/06;Fri, 07/07
Base (01-24);;144,45;45,18;192,16;223,88;213,93;211.72;197.04
Peak (9-20);;79,11;28,44;228,71;211,53;209,18;199.46;173.62
Off-Peak
(1-8 & 21-24);;209,79;61,91;155,61;236,22;218,68;223.98;220.45


Chasovi produkti;
;--;Sat, 07/01;Sun, 07/02;Mon, 07/03;Tue, 07/04;Wed, 07/05;Thu, 07/06;Fri, 07/07
0 -- 1;BGN/MWh;233,10;32,17;129,08;224,92;240,51;179,19;222.96
 ;MWh;2309.5;3093;3006,7;2523,4;2410,6;3049,5;2432,5
1 -- 2;BGN/MWh;229,46;6,20;85,08;202,27;210,35;164,29;202.37
 ;MWh;2440.3;3059;3043,5;2700,8;2211,3;2984,7;2619,3
2 -- 3;BGN/MWh;218,25;0,02;47,12;189,34;184,45;161,16;190.89
 ;MWh;2382.1;3066,4;3065,7;2732;2562,1;2974,5;2608,7
3 -- 4;BGN/MWh;217,88;0,00;20,07;183,28;162,31;162,43;185.47
 ;MWh;2294.9;3102,3;3128,7;2726,4;2734,3;2746,8;2512,2
4 -- 5;BGN/MWh;210,56;0,00;30,90;180,43;168,08;166,27;185.33
 ;MWh;2628.1;3062,6;3124,5;2681,7;2579,9;2541,6;2448,4
5 -- 6;BGN/MWh;193,26;-0,08;105,61;182,56;178,65;184,57;194.96
 ;MWh;2846.2;2957,5;3082,4;2727,1;2426,4;2357,6;2511,7
6 -- 7;BGN/MWh;189,99;0,00;168,20;224,69;206,61;222,48;204.85
 ;MWh;2771.5;2875,5;3131,7;2451,3;2563,3;2660,5;2645,8
7 -- 8;BGN/MWh;197,95;0,00;216,88;234,64;232,16;255,24;235.85
 ;MWh;2619.3;2923,4;3025,9;3114,6;3297,7;2872,4;2953,7
8 -- 9;BGN/MWh;169,14;0,00;205,19;221,58;192,36;244,19;212.64
 ;MWh;2584.5;2782,6;2906,6;3255,6;2926,3;3245,8;3037,1
9 -- 10;BGN/MWh;124,41;0,00;190,15;185,49;161,16;217,04;179.53
 ;MWh;2642.8;2721,2;2827,4;2961,3;2946,6;3001,8;2950,2
10 -- 11;BGN/MWh;85,67;-0,02;210,10;199,34;143,64;185,90;164.29
 ;MWh;2723.5;3067,4;2979,9;3096,5;2847,3;2761,6;3046,5
11 -- 12;BGN/MWh;48,13;0,00;224,63;214,79;173,46;168,81;154.75
 ;MWh;3019.4;3094,8;2862,8;3230,1;2772,9;2705,1;3074
12 -- 13;BGN/MWh;32,92;-0,06;219,19;205,15;187,49;162,51;146.49
 ;MWh;3012.1;3084,4;2935,6;3053;2871,1;2879,4;3242
13 -- 14;BGN/MWh;8,66;-0,04;222,55;215,94;209,35;190,75;130.20
 ;MWh;3068.4;3080,7;2809,2;3114,2;2986,2;2789,4;3414,2
14 -- 15;BGN/MWh;0,14;-0,02;234,72;202,12;234,50;161,45;127.09
 ;MWh;3140.7;3121;2611,6;2942,8;2941,3;3027,2;3533,5
15 -- 16;BGN/MWh;1,76;0,00;243,21;190,87;234,31;164,39;129.44
 ;MWh;3031.3;3206;2784,4;2592,6;3029,7;3092;3440,6
16 -- 17;BGN/MWh;22,37;0,02;244,62;185,71;226,76;172,31;157.03
 ;MWh;2831.7;3203,8;2322,4;2621,5;2912,6;3167,4;3408,7
17 -- 18;BGN/MWh;96,60;74,11;250,68;183,22;230,69;196,17;176.02
 ;MWh;2931.9;3280;2427,4;2756,5;2812,7;3147,5;3363,6
18 -- 19;BGN/MWh;140,04;99,41;235,03;234,43;257,93;236,23;228.46
 ;MWh;2955;3130,3;2850,3;2529,1;2704;2948,4;3398,6
19 -- 20;BGN/MWh;219,48;167,91;264,47;299,69;258,50;293,77;277.53
 ;MWh;2987.4;3057,4;2812,7;2666,2;2791,4;2698,5;3219,4
20 -- 21;BGN/MWh;226,45;174,54;281,60;344,40;277,63;347,22;325.55
 ;MWh;2974.8;3004,4;2992;2781,8;2836,8;3151,8;3149,6
21 -- 22;BGN/MWh;217,74;176,14;281,09;341,70;267,38;346,61;269.18
 ;MWh;2983.4;2923,9;2774,4;2941,2;2788,8;2819,2;3168,3
22 -- 23;BGN/MWh;207,06;185,61;261,59;283,75;262,51;265,60;229.36
 ;MWh;2887.4;2937,8;2419,8;2413,2;2617,9;2747;3220,4
23 -- 24;BGN/MWh;175,75;168,36;240,14;242,70;233,57;232,70;198.63
 ;MWh;3043.6;2927,7;2779,1;2420,6;2912,3;2990,4;3154,2
